tipo,px,py,field_x,field_y,bbox_x,bbox_y,bbox_w,bbox_h,area,circularity
X,122,228,71.241,96.203,114,227,18,4,36.0,0.3000632226018395
X,23,228,13.431,96.203,12,227,23,3,44.0,0.2399827721492203
X,42,227,24.526,95.781,36,226,15,4,30.0,0.3498089922963411
X,82,219,47.883,92.405,52,195,59,35,257.0,0.04922445719123558
X,66,196,38.54,82.7,57,195,19,3,36.0,0.2827433388230814
X,4,208,2.336,87.764,3,184,8,46,99.0,0.12038481968624276
X,130,195,75.912,82.278,129,167,3,58,114.0,0.10288467753784442
X,67,140,39.124,59.072,56,138,23,5,47.0,0.22430601498094493
X,4,153,2.336,64.557,3,127,4,56,112.5,0.10613137563338503
X,113,116,65.985,48.945,96,115,35,3,68.0,0.16483665157724223
X,41,116,23.942,48.945,21,115,42,4,85.0,0.14167881713405972
X,77,116,44.964,48.945,64,114,31,5,67.0,0.19531002069879047
X,71,92,41.46,38.819,60,90,23,7,48.0,0.22185717344965505
X,5,73,2.92,30.802,4,37,3,74,146.0,0.08154178265317508
X,70,37,40.876,15.612,58,36,25,5,50.5,0.21568482736558828
X,61,17,35.62,7.173,53,16,19,4,38.5,0.2820796503395421
X,94,28,54.891,11.814,84,11,15,28,78.0,0.15002934448030483
X,38,23,22.19,9.705,37,10,3,28,54.0,0.20171938560505212
X,107,14,62.482,5.907,59,5,73,48,240.0,0.05302710830761653
X,19,9,11.095,3.797,5,4,45,28,141.0,0.0882985945060139
